F1_score,AP_score,Recall_score
0.7433628318584071,0.8859724794216797,0.711864406779661
0.6915887850467289,0.8227026403990996,0.6271186440677966
0.7142857142857143,0.834163517779512,0.6779661016949152
0.75,0.8294437918376482,0.6724137931034483
0.6915887850467289,0.7975890260218916,0.6379310344827587
0.8392857142857144,0.8773899157428642,0.8103448275862069
0.7663551401869159,0.8834266167132255,0.7068965517241379
0.7307692307692308,0.828114936465653,0.6551724137931034
0.7450980392156864,0.8717644075355016,0.6551724137931034
0.7047619047619048,0.8282929140059586,0.6379310344827587
0.7863247863247863,0.8935077842439885,0.7796610169491526
0.7999999999999999,0.8982280119445281,0.711864406779661
0.7407407407407407,0.8458467524048242,0.6779661016949152
0.7155963302752292,0.8194196116015351,0.6724137931034483
0.7428571428571429,0.855303482037024,0.6724137931034483
0.6391752577319587,0.8213480631133641,0.5344827586206896
0.7115384615384616,0.8078435780993174,0.6379310344827587
0.7454545454545455,0.8681058486855497,0.7068965517241379
0.69811320754717,0.8089956024333471,0.6379310344827587
0.8155339805825242,0.8784905537078224,0.7241379310344828
0.7678571428571428,0.8179833350614788,0.7288135593220338
0.712871287128713,0.7981524574723677,0.6101694915254238
0.7169811320754716,0.8215801722640941,0.6440677966101694
0.7857142857142857,0.8594102395491339,0.7586206896551724
0.7142857142857143,0.8276349906171758,0.6896551724137931
0.7894736842105263,0.8867506540740503,0.7758620689655172
0.6666666666666667,0.8306894955283103,0.5862068965517241
0.7999999999999999,0.9004442603233493,0.7241379310344828
0.823529411764706,0.9464245389840978,0.7241379310344828
0.6530612244897959,0.7979191220873629,0.5517241379310345
