,Smiles,pIC50
23,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC5(C4)CC(=O)NC5)cc3)ccc2)cccc1-c1nc(Cl)c(CN2CC3(C2)CC(=O)NC3)c(OC)c1,1
24,Clc1c(-c2c(Cl)c(-c3nc(Cl)c(CN4CC5(C4)CC(=O)NC5)c(OC)c3)ccc2)cccc1-c1nc(Cl)c(CN2CC3(C2)CC(=O)NC3)c(OC)c1,1
25,Clc1c(-c2c(Cl)c(-c3nc(Cl)c(CN4CC5(NC(=O)CC5)C4)c(C)c3)ccc2)cccc1-c1nc(Cl)c(CN2CC3(NC(=O)CC3)C2)c(C)c1,1
26,Clc1c(-c2c(Cl)c(-c3nc(Cl)c(CNC[C@H]4NC(=O)CC4)c(C)c3)ccc2)cccc1-c1nc(Cl)c(CNC[C@H]2NC(=O)CC2)c(C)c1,1
27,Clc1c(-c2c(Cl)c(-c3ccc(CCN)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
28,Clc1c(-c2c(Cl)c(-c3cc(OC)c(CCCN)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
29,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CNCC[C@H]2NC(=O)CC2)cc1,1
30,Clc1c(-c2c(Cl)c(-c3nc(OC)c(C=4N(O)[C@H](CO)CN=4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
31,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN[C@@H]4C(=O)NCC4)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@@H]2C(=O)NCC2)cc1,1
32,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@@H]2C(=O)NCC2)cc1,1
33,Clc1c(-c2c(Cl)c(-c3ccc(C4N(C)CCC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
34,Clc1c(-c2c(Cl)c(-c3nc(OC(C)C)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC(C)C)c(CN2CC3(NC(=O)CC3)C2)cc1,1
35,Clc1c(-c2c(Cl)c(-c3nc(OC(C)C)c(CNC[C@@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC(C)C)c(CNC[C@@H]2NC(=O)CC2)cc1,1
36,Clc1c(-c2c(Cl)c(-c3nc(OCC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OCC)c(C2=NCCN2)cc1,1
37,Clc1c(-c2c(Cl)c(-c3nc(OCC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OCC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
38,Clc1c(-c2c(Cl)c(-c3nc(OCC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OCC)c(CNC[C@H]2NC(=O)CC2)cc1,1
39,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC4(C)CNC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC2(C)CNC2)cc1,1
40,Clc1c(-c2c(Cl)c(-c3nc(F)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(F)c(CN2CC3(NC(=O)CC3)C2)cc1,1
41,Clc1c(-c2c(Cl)c(-c3nc(F)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(F)c(C2=NCCN2)cc1,1
42,Clc1c(-c2c(Cl)c(-c3nc(OCC)c(CNCCO)cc3)ccc2)cccc1-c1nc(F)c(CNCCO)cc1,1
43,Clc1c(-c2c(Cl)c(-c3nc(F)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(F)c(CNC[C@H]2NC(=O)CC2)cc1,1
44,Clc1c(-c2c(Cl)c(-c3nc(F)c(CNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(F)c(CNC[C@@H](O)CC(=O)O)cc1,1
45,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN[C@](C(=O)O)(CO)C)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@](C(=O)O)(CO)C)cc1,1
46,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC4C(=O)NC4)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@@H]2C(=O)NC2)cc1,1
47,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCO)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@](C(=O)O)(CO)C)cc1,1
