,ID,Smiles,pIC50
31,31,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN[C@@H]4C(=O)NCC4)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@@H]2C(=O)NCC2)cc1,8.9270153
32,32,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@@H]2C(=O)NCC2)cc1,9.2240257
33,33,Clc1c(-c2c(Cl)c(-c3ccc(C4N(C)CCC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,9.0594835
34,34,Clc1c(-c2c(Cl)c(-c3nc(OC(C)C)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC(C)C)c(CN2CC3(NC(=O)CC3)C2)cc1,8.0393867
35,35,Clc1c(-c2c(Cl)c(-c3nc(OC(C)C)c(CNC[C@@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC(C)C)c(CNC[C@@H]2NC(=O)CC2)cc1,8.394803
36,36,Clc1c(-c2c(Cl)c(-c3nc(OCC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OCC)c(C2=NCCN2)cc1,10.19382
37,37,Clc1c(-c2c(Cl)c(-c3nc(OCC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OCC)c(CN2CC3(NC(=O)CC3)C2)cc1,8.9746943
38,38,Clc1c(-c2c(Cl)c(-c3nc(OCC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OCC)c(CNC[C@H]2NC(=O)CC2)cc1,9.4698
39,39,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC4(C)CNC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC2(C)CNC2)cc1,8.9370422
40,40,Clc1c(-c2c(Cl)c(-c3nc(F)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(F)c(CN2CC3(NC(=O)CC3)C2)cc1,9.0680342
41,41,Clc1c(-c2c(Cl)c(-c3nc(F)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(F)c(C2=NCCN2)cc1,9.5559549
42,42,Clc1c(-c2c(Cl)c(-c3nc(OCC)c(CNCCO)cc3)ccc2)cccc1-c1nc(F)c(CNCCO)cc1,9.4647055
43,43,Clc1c(-c2c(Cl)c(-c3nc(F)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(F)c(CNC[C@H]2NC(=O)CC2)cc1,9.2949924
44,44,Clc1c(-c2c(Cl)c(-c3nc(F)c(CNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(F)c(CNC[C@@H](O)CC(=O)O)cc1,8.7031155
45,45,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN[C@](C(=O)O)(CO)C)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@](C(=O)O)(CO)C)cc1,9.4111681
